E_n (eV),dN/dE (pdf)
0.000579036,0.00072504
0.000589438,0.000750551
0.000600123,0.000808913
0.000611102,0.000844733
0.000622385,0.000908162
0.000633982,0.000923015
0.000645908,0.000962679
0.000658172,0.001013877
0.00067079,0.001095303
0.000683774,0.001152092
0.000697138,0.001215171
0.000710899,0.001264446
0.00072507,0.001361948
0.00073967,0.001418562
0.000754715,0.001500688
0.000770224,0.001591025
0.000786216,0.001666336
0.000802711,0.001787253
0.000819731,0.001893841
0.000837297,0.001998157
0.000855435,0.002134276
0.000874169,0.002272316
0.000893524,0.002384146
0.00091353,0.002515372
0.000934215,0.00264555
0.000955611,0.00281679
0.00097775,0.003046566
0.001000668,0.003133234
0.0010244,0.003331383
0.001048988,0.003533202
0.001074471,0.003761056
0.001100895,0.004007607
0.001128305,0.004218861
0.001156751,0.004607821
0.001186288,0.004672472
0.00121697,0.004992586
0.001248858,0.005249796
0.001282016,0.005952404
0.001316512,0.005952754
0.00135242,0.006325288
0.001389817,0.006701492
0.001428787,0.007175722
0.001469419,0.007674765
0.001511809,0.007967271
0.001556061,0.008419135
0.001602284,0.008897558
0.001650598,0.009369692
0.00170113,0.01000957
0.001754019,0.010478558
0.001809414,0.011176449
0.001867475,0.01196258
0.001928375,0.012549514
0.001992305,0.013323065
0.002059466,0.014047864
0.002130082,0.014911054
0.002204394,0.015712213
0.002282662,0.016727946
0.002365175,0.017470044
0.002452244,0.018586075
0.00254421,0.019442625
0.002641449,0.020284496
0.002744371,0.020704035
0.002853428,0.020864092
0.002969117,0.021026595
0.003091987,0.021743182
0.003222644,0.023193655
0.003361762,0.02471507
0.003510087,0.025865349
0.003668449,0.026655499
0.003837775,0.026810664
0.004019101,0.02676069
0.004213587,0.026873044
0.004422541,0.026814683
0.004647431,0.026957791
0.004889922,0.026803849
0.005151899,0.02663226
0.005435508,0.026038686
0.005743196,0.024873205
0.006077769,0.023578945
0.006442454,0.022011575
0.006840974,0.020470239
0.007277648,0.018994605
0.007757508,0.01748909
0.008286442,0.015891491
0.008871376,0.014344564
0.009520504,0.012811267
0.010243574,0.011197941
0.01105226,0.009605583
0.01196063,0.007932673
0.012985768,0.00642611
0.01414858,0.004863458
0.015474869,0.003482179
0.01699678,0.002361256
0.018754762,0.001479719
0.02080029,0.000903619
0.023199673,0.000518329
0.026039495,0.000271429
0.02943454,0.000129719
0.033539573,7.08333E-05
0.0385673,3.23917E-05
0.044816481,1.71898E-05
0.052717364,5.83202E-06
0.062907772,2.68679E-06
0.076365987,3.7352E-06
0.094654607,7.64709E-07
0.120395471,-4.58434E-07
0.158264472,9.39444E-07
0.217275213,4.1524E-07
0.316684073,9.39444E-07
0.50394905,-2.83699E-07
0.923977813,-2.83699E-07
2.214497974,5.89974E-07
10.84537243,4.1524E-07
